sku,name,series,description,rarity,image,msrp
"LBB-PFL-C","C - Charmin","Pin for Love (V4)","Pin for Love V4 mini Labubu: C - Charming","common","src/assets/pin for love/LBB-PFL-C.png",22.99
"LBB-PFL-D","D - Dollar","Pin for Love (V4)","Pin for Love V4 mini Labubu: D - Dollar","common","src/assets/pin for love/LBB-PFL-D.png",22.99
"LBB-PFL-E","E - Equality","Pin for Love (V4)","Pin for Love V4 mini Labubu: E - Equality","common","src/assets/pin for love/LBB-PFL-E.png",22.99
"LBB-PFL-F","F - Future","Pin for Love (V4)","Pin for Love V4 mini Labubu: F - Future","common","src/assets/pin for love/LBB-PFL-F.png",22.99
"LBB-PFL-G","G - Giving","Pin for Love (V4)","Pin for Love V4 mini Labubu: G - Giving","common","src/assets/pin for love/LBB-PFL-G.png",22.99
"LBB-PFL-H","H - Happiness","Pin for Love (V4)","Pin for Love V4 mini Labubu: H - Happiness","common","src/assets/pin for love/LBB-PFL-H.png",22.99
"LBB-PFL-I","I - Imagination","Pin for Love (V4)","Pin for Love V4 mini Labubu: I - Imagination","common","src/assets/pin for love/LBB-PFL-I.png",22.99
"LBB-PFL-J","J - Joy","Pin for Love (V4)","Pin for Love V4 mini Labubu: J - Joy","common","src/assets/pin for love/LBB-PFL-J.png",22.99
"LBB-PFL-K","K - Knowledge","Pin for Love (V4)","Pin for Love V4 mini Labubu: K - Knowledge","common","src/assets/pin for love/LBB-PFL-K.png",22.99
"LBB-PFL-L","L - Love","Pin for Love (V4)","Pin for Love V4 mini Labubu: L - Love","common","src/assets/pin for love/LBB-PFL-L.png",22.99
"LBB-PFL-M","M - Motivation","Pin for Love (V4)","Pin for Love V4 mini Labubu: M - Motivation","common","src/assets/pin for love/LBB-PFL-M.png",22.99
"LBB-PFL-QM","? - Question Mark","Pin for Love (V4)","Special variant '?' called Emm.","common","src/assets/pin for love/LBB-PFL-QM.png",22.99
"LBB-PFL-SH","Secret: Heart","Pin for Love (V4)","Secret character 'Heart' in V4.","secret","src/assets/pin for love/LBB-PFL-SH.png",22.99
"LBB-PFL-N","N - Nice","Pin for Love (V4)","Pin for Love V4 mini Labubu: N - Nice","common","src/assets/pin for love/LBB-PFL-N.png",22.99
"LBB-PFL-O","O - Openness","Pin for Love (V4)","Pin for Love V4 mini Labubu: O - Openness","common","src/assets/pin for love/LBB-PFL-O.png",22.99
"LBB-PFL-P","P - Peace","Pin for Love (V4)","Pin for Love V4 mini Labubu: P - Peace","common","src/assets/pin for love/LBB-PFL-P.png",22.99
"LBB-PFL-Q","Q - Quiet","Pin for Love (V4)","Pin for Love V4 mini Labubu: Q - Quiet","common","src/assets/pin for love/LBB-PFL-Q.png",22.99
"LBB-PFL-R","R - Respect","Pin for Love (V4)","Pin for Love V4 mini Labubu: R - Respect","common","src/assets/pin for love/LBB-PFL-R.png",22.99
"LBB-PFL-S","S - Smile","Pin for Love (V4)","Pin for Love V4 mini Labubu: S - Smile","common","src/assets/pin for love/LBB-PFL-S.png",22.99
"LBB-PFL-T","T - Trust","Pin for Love (V4)","Pin for Love V4 mini Labubu: T - Trust","common","src/assets/pin for love/LBB-PFL-T.png",22.99
"LBB-PFL-U","U - Unity","Pin for Love (V4)","Pin for Love V4 mini Labubu: U - Unity","common","src/assets/pin for love/LBB-PFL-U.png",22.99
"LBB-PFL-V","V - Victory","Pin for Love (V4)","Pin for Love V4 mini Labubu: V - Victory","common","src/assets/pin for love/LBB-PFL-V.png",22.99
"LBB-PFL-W","W - Win","Pin for Love (V4)","Pin for Love V4 mini Labubu: W - Win","common","src/assets/pin for love/LBB-PFL-W.png",22.99
"LBB-PFL-X","X - XFactor","Pin for Love (V4)","Pin for Love V4 mini Labubu: X - XFactor","common","src/assets/pin for love/LBB-PFL-X.png",22.99
"LBB-PFL-Y","Y - Yes","Pin for Love (V4)","Pin for Love V4 mini Labubu: Y - Yes","common","src/assets/pin for love/LBB-PFL-Y.png",22.99
"LBB-PFL-Z","Z - Zest","Pin for Love (V4)","Pin for Love V4 mini Labubu: Z - Zest","common","src/assets/pin for love/LBB-PFL-Z.png",22.99
"LBB-PFL-AND","& - And","Pin for Love (V4)","Pin for Love V4 mini Labubu: & - And","common","src/assets/pin for love/LBB-PFL-AND.png",22.99
"LBB-PFL-SE","Secret: !","Pin for Love (V4)","Secret exclamation character in V4.","secret","src/assets/pin for love/LBB-PFL-SE.png",22.99
"LBB-PLR-TTC","Time to Chill","Plush Releases","Plush release: Time to Chill.","epic","src/assets/plush releases/LBB-PLR-TTC.png",82.99
"LBB-PLR-DBL","Dress Be Latte","Plush Releases","Plush release: Dress Be Latte.","epic","src/assets/plush releases/LBB-PLR-DBL.png",84.99
"LBB-PLR-FWM","Flip With Me","Plush Releases","Plush release: Flip With Me.","epic","src/assets/plush releases/LBB-PLR-FWM.png",99.99
"LBB-PLR-FIW","Fall In Wild","Plush Releases","Plush release: Fall In Wild.","epic","src/assets/plush releases/LBB-PLR-FIW.png",99.99
"LBB-PLR-LC","Lets Checkmate","Plush Releases","Plush release: Lets Checkmate.","epic","src/assets/plush releases/LBB-PLR-LC.png",46.99
"LBB-PLR-CMI","Catch Me If You Like Me","Plush Releases","Plush release: Catch Me If You Like Me.","epic","src/assets/plush releases/LBB-PLR-CMI.png",114.99
"LBB-PLR-CMIS","Catch Me If You Like Me Special Edition","Plush Releases","Plush release: Catch Me If You Like Me.","epic","src/assets/plush releases/LBB-PLR-CMIS.png",114.99
"LBB-PLR-BFN","Be Fancy Now","Plush Releases","Plush release: Be Fancy Now.","epic","src/assets/plush releases/LBB-PLR-BFN.png",99.99
"LBB-REG-WBF","Walk By Fortune","Regional (China)","Plush release: Walk By Fortune.","epic","src/assets/regional/LBB-REG-WBF.png",500
"LBB-PLR-SOP","Sitting Pumpkin","Special Releases","Plush release: Sit On Pumpkin.","epic","src/assets/plush releases/LBB-PLR-SOP.png",42.99
"LBB-REG-JFJ","Jump For Joy","Regional (China)","Plush release: Jump For Joy.","epic","src/assets/regional/LBB-REG-JFJ.png",500
"LBB-PLR-BOL","Best Of Luck","Plush Releases","Plush release: Best Of Luck.","epic","src/assets/plush releases/LBB-PLR-BOL.png",84.99
"LBB-PLR-VA","Vans","Plush Releases","Plush release: Vans.","epic","src/assets/plush releases/LBB-PLR-VA.png",84.99
"LBB-PLR-WOFA","Wings Of Fantasy","Plush Releases","Plush release: Wings Of Fantasy.","epic","src/assets/plush releases/LBB-PLR-WOFA.png",119.99
"LBB-PLR-14","14th Anniversary","Plush Releases","Plush release: 14th Anniversary.","epic","src/assets/plush releases/LBB-PLR-14.png",491.05
"LBB-PLR-WOF","Wings Of Fortune","Plush Releases","Plush release: Wings Of Fortune.","epic","src/assets/plush releases/LBB-PLR-WOF.png",54.99
"LBB-PLR-RTU","Rock the Universe","Plush Releases","Plush release: Rock the Universe.","epic","src/assets/plush releases/LBB-PLR-RTU.png",114.99
"LBB-REG-HAS","Hide and Seek","Regional (Singapore)","Special release: Hide and Seek.","common","src/assets/regional/LBB-REG-HAS.png",27.99
"LBB-REG-GLT","Good Luck to You","Regional (Thailand)","Special release: Good Luck to You.","common","src/assets/regional/LBB-REG-GLT.png",27.99
"LBB-REG-FFT","Forest Fairy Tale","Regional (China)","Special release: Forest Fairy Tale.","common","src/assets/regional/LBB-REG-FFT.png",
"LBB-REG-WM","Wacky Mart","Regional (China)","Special release: Wacky Mart.","common","src/assets/regional/LBB-REG-WM.png",7.99
"LBB-ZIR-IFY","I Found You","Zimomo releases","Special release: I Found You (Zimomo).","uncommon","src/assets/zimomo/LBB-ZIR-IFY.png",55.99
"LBB-ZIR-AIC","Angel In Clouds","Zimomo releases","Special release: Angel In Clouds (Zimomo).","uncommon","src/assets/zimomo/LBB-ZIR-AIC.png",55.99
"LBB-MOR-TFT","Twinkly Fairy Tale","Mokoko releases","Special release: Twinkly Fairy Tale (Mokoko).","rare","src/assets/mokoko/LBB-MOR-TFT.png",21.99
"LBB-MOR-MOP","Magic of Pumpkin","Mokoko releases","Special release: Magic of Pumpkin (Mokoko).","rare","src/assets/mokoko/LBB-MOR-MOP.png",21.99
"LBB-MOR-FTS","Fall into Spring","Mokoko releases","Special release: Fall To Spring (Mokoko).","rare","src/assets/mokoko/LBB-MOR-FTS.png",83.99
"LBB-CLA-SS","Surprise Shake","Coca Cola","Plush release: Coca-Cola.","common","src/assets/coca cola series/LBB-CLA-SS.png",46.99
"LBB-CLA-HF","Happy Factor","Coca Cola","Plush release: Coca-Cola.","common","src/assets/coca cola series/LBB-CLA-HF.png",46.99
"LBB-CLA-MG","Mysterious Guest","Coca Cola","Plush release: Coca-Cola.","secret","src/assets/coca cola series/LBB-CLA-MG.png",46.99
